model_type,timestamp,mae,r2
log_linear_regression,20240612_212346,1122.79,0.9652
linear_regression,20240612_212346,6203.07,-0.8952
xgboost,20240612_212346,5424.5,-0.32
opt_xgboost,20240612_212348,8996.63,-2.1466
log_linear_regression,20240612_212457,1122.79,0.9652
linear_regression,20240612_212457,6203.07,-0.8952
xgboost,20240612_212458,5424.5,-0.32
opt_xgboost,20240612_212540,7135.34,-1.4782
log_linear_regression,20240612_225839,1122.79,0.9652
linear_regression,20240612_225839,6203.07,-0.8952
xgboost,20240612_225839,5424.5,-0.32
log_linear_regression,20240613_143818,1122.79,0.9652
linear_regression,20240613_143818,6203.07,-0.8952
xgboost,20240613_143818,5424.5,-0.32
opt_xgboost,20240613_143819,8938.24,-2.1188
